date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2022-06-21,1,900855,GH04,1249.0,84.11209,50.12426,162.02322,161.6997,449.68616,439.2351,161.65677,100.19408,102.35259,final
2022-07-01,1,900855,GH04,1249.0,45.845478,49.761677,176.47798,151.19165,460.03683,442.56866,92.848656,116.1893,103.9029,final
2022-07-11,1,900855,GH04,1249.0,16.516413,44.02274,146.47398,143.90868,427.01764,442.71262,43.89068,101.72274,96.49441,final
2022-07-21,1,900855,GH04,1249.0,47.144917,36.538216,109.506805,130.32263,418.25864,434.97272,125.5348,84.61763,96.20111,final
2022-08-01,1,900855,GH04,1249.0,7.269816,23.450546,70.931145,104.0115,369.81348,411.47534,43.12682,69.65426,89.99656,final
2022-08-11,1,900855,GH04,1249.0,34.047237,28.414064,88.461975,88.402824,365.6021,396.39505,116.858696,100.063324,92.32852,final
2022-08-21,1,900855,GH04,1249.0,78.23459,44.767227,119.55164,96.631836,391.08167,388.65417,167.2478,122.551796,100.61666,final
2022-09-01,1,900855,GH04,1249.0,17.11129,55.266853,129.39313,128.44815,376.80225,383.6513,36.688976,100.70813,98.23773,final
2022-09-11,1,900855,GH04,1249.0,91.52762,63.8573,186.8735,163.89137,421.80945,396.20288,140.18503,113.60764,106.382454,final
2022-09-21,1,900855,GH04,1249.0,107.64532,74.6011,216.28423,193.72525,445.34268,420.67972,141.51227,111.35184,105.793785,final
2022-10-01,1,900855,GH04,1249.0,55.931946,54.412544,255.10489,192.87094,455.42914,425.33057,102.55737,131.45178,106.99429,final
2022-10-11,1,900855,GH04,1249.0,53.658127,53.691647,217.2354,182.70529,492.57086,434.99948,99.94289,118.39591,113.08443,final
2022-10-21,1,900855,GH04,1249.0,26.666933,50.872723,136.257,158.97691,472.0929,449.33398,56.67691,86.14445,105.00929,final
2022-11-01,1,900855,GH04,1249.0,11.299439,18.821564,91.6245,123.38593,476.1225,444.70502,68.42304,75.26097,106.98624,final
2022-11-11,1,900855,GH04,1249.0,18.42674,12.40782,56.393112,82.10211,460.50198,428.69876,134.57596,70.48407,107.333015,final
2022-11-21,1,900855,GH04,1249.0,7.841473,11.129917,37.567654,42.359303,390.1089,395.06146,79.61276,89.88235,98.76205,final
2022-12-01,1,900855,GH04,1249.0,6.828663,4.947745,33.096878,28.485481,379.82623,344.74234,118.90799,113.77133,110.03136,final
2022-12-11,1,900855,GH04,1249.0,3.391513,3.5282626,18.06165,19.605925,291.69016,284.41333,98.39651,93.72397,102.514336,final
2022-12-21,1,900855,GH04,1249.0,1.8222578,3.0329063,12.042434,11.508914,185.86708,212.84514,84.92889,103.231705,87.61595,final
2023-01-01,1,900855,GH04,1249.0,1.1305044,2.1742995,6.3442755,8.756019,131.06564,159.85374,85.45092,82.46772,82.537186,final
2023-01-11,1,900855,GH04,1249.0,0.9663731,1.7384841,3.919135,6.952602,78.373886,108.28506,88.54176,74.62086,73.59654,final
2023-01-21,1,900855,GH04,1249.0,3.5788631,3.7288764,5.6757407,7.64166,55.285828,61.455456,98.28142,84.44888,90.71614,final
2023-02-01,1,900855,GH04,1249.0,9.994395,5.1451826,14.539631,10.612543,53.980785,48.070827,147.79819,125.15341,111.13599,final
2023-02-11,1,900855,GH04,1249.0,2.7870295,8.604644,16.360289,17.478703,38.341072,44.53392,57.238026,95.02456,87.497765,final
2023-02-21,1,900855,GH04,1249.0,6.352282,10.377849,19.133707,24.127676,36.851883,43.559727,73.8223,82.854904,86.1864,final
2023-03-01,1,900855,GH04,1249.0,26.18735,22.7083,35.32666,41.690792,56.210567,61.059353,112.555984,86.36962,92.65995,final
2023-03-11,1,900855,GH04,1249.0,29.90072,28.990232,62.440353,62.07638,82.71977,86.50768,102.678665,100.54262,95.86055,final
2023-03-21,1,900855,GH04,1249.0,38.266613,32.499546,94.35468,84.19808,119.16412,115.967415,115.379036,111.38657,102.64262,final
2023-04-01,1,900855,GH04,1249.0,32.919136,46.428127,101.08647,107.91791,150.95276,160.22124,73.73229,93.95009,94.39026,final
2023-04-11,1,900855,GH04,1249.0,60.391514,43.878784,131.57726,122.80646,210.3779,202.36154,133.783,106.86256,103.86588,final
2023-04-21,1,900855,GH04,1249.0,52.27542,44.278114,145.58607,134.58502,259.07446,242.91078,116.22893,107.881256,106.51996,final
