country,district_id,district_name,time,year,label,elev_std,rainfall_std,ntl_std,temp_std,travel_std,pop_dens_std,poverty_std
BFA,190,Liptougou,1,2010,DHS 2010,-0.8089001522254976,-0.5659372056456072,-0.14833133318376757,0.0789779049820851,1.316288948075644,-0.30740909932901056,-0.6948000136868395
BFA,190,Liptougou,2,2021,DHS 2021,-0.8089001522254976,-1.26228826961882,-0.14833133318376757,1.202592134187971,1.316288948075644,-0.30740909932901056,-0.6948000136868395
BFA,191,Mani,1,2010,DHS 2010,-0.590559591020648,-0.696346602470473,-0.12253440803130311,0.2638149688707635,-0.7429038520372704,1.9437046505516327,-0.6948000136868395
BFA,191,Mani,2,2021,DHS 2021,-0.590559591020648,-1.3535286055378732,-0.12869512251410556,1.3190795817568184,-0.7429038520372704,1.9437046505516327,-0.6948000136868395
BFA,192,Piéla,1,2010,DHS 2010,-0.471860382856197,-0.3129791857637063,-0.14434133325806148,-0.1875271891848,-0.3837621879781805,0.2517962709033342,0.3137495469901259
BFA,192,Piéla,2,2021,DHS 2021,-0.471860382856197,-0.8145885568550373,-0.14539435209043644,1.0287897261944763,-0.3837621879781805,0.2517962709033342,0.3137495469901259
BFA,193,Thion,1,2010,DHS 2010,-0.38250132987204943,-0.6765531026132837,-0.14833133318376757,0.14231798748588187,-0.1500406512980286,0.7973211082122519,-0.6948000136868395
BFA,193,Thion,2,2021,DHS 2021,-0.38250132987204943,-1.282935695617212,-0.14833133318376757,1.2378114722454379,-0.1500406512980286,0.7973211082122519,-0.6948000136868395
BFA,194,Diabo,1,2010,DHS 2010,-0.06761431520892174,0.17904547812798036,-0.1228078886974728,-0.7898183882558685,-0.39740664564215883,0.2611707878927271,-0.10532360052102979
BFA,194,Diabo,2,2021,DHS 2021,-0.06761431520892174,-0.5097582234148124,-0.14833133318376757,0.28980455659910825,-0.39740664564215883,0.2611707878927271,-0.10532360052102979
BFA,195,Diapangou,1,2010,DHS 2010,-0.022207774250543502,0.08760207492862859,-0.08478865622221127,-0.6594494803858575,-1.3778594624615423,0.05636342862804883,-0.10532360052102979
BFA,195,Diapangou,2,2021,DHS 2021,-0.022207774250543502,-0.5984397747412644,-0.1179665846257209,0.38348599622817175,-1.3778594624615423,0.05636342862804883,-0.10532360052102979
BFA,196,Fada N'gourma,1,2010,DHS 2010,-0.47401106447611374,0.13711336781686548,0.014349997644951177,-0.7528625521319093,-0.5375478861380266,-0.3672630644845927,-0.10532360052102979
BFA,196,Fada N'gourma,2,2021,DHS 2021,-0.47401106447611374,-0.47164179349103363,0.03927175713460957,0.3863696354416033,-0.5375478861380266,-0.3672630644845927,-0.10532360052102979
BFA,197,Matiacoali,1,2010,DHS 2010,-0.9585536945459203,-0.09237250374259862,-0.14833133318376757,-0.6860284250337455,0.8072011215805267,-2.024579159532504,-0.10532360052102979
BFA,197,Matiacoali,2,2021,DHS 2021,-0.9585536945459203,-0.6831703245188678,-0.14833133318376757,0.5276890053611599,0.8072011215805267,-2.024579159532504,-0.10532360052102979
BFA,198,Tibga,1,2010,DHS 2010,-0.0463290399026532,-0.18377963881775222,-0.1406414242689715,-0.7795309527408077,-0.8727079307883379,-0.25060804741465936,-0.10532360052102979
BFA,198,Tibga,2,2021,DHS 2021,-0.0463290399026532,-0.7291911526051493,-0.14833133318376757,0.24508183821416452,-0.8727079307883379,-0.25060804741465936,-0.10532360052102979
BFA,199,Yamba,1,2010,DHS 2010,-0.33047725567609315,0.06972719305673211,-0.14833133318376757,-0.6950634770947975,-0.5713914207977558,-1.3658297330581368,-0.10532360052102979
BFA,199,Yamba,2,2021,DHS 2021,-0.33047725567609315,-0.506122515040007,-0.14833133318376757,0.39014783426504096,-0.5713914207977558,-1.3658297330581368,-0.10532360052102979
BFA,200,Bartiébougou,1,2010,DHS 2010,-0.9522864895275345,-0.7657047709458511,-0.14833133318376757,0.19876996099260205,1.2356625837829986,0.2517962709033342,0.3137495469901259
BFA,200,Bartiébougou,2,2021,DHS 2021,-0.9522864895275345,-1.3302314680222982,-0.14833133318376757,1.0738018609238436,1.2356625837829986,0.2517962709033342,0.3137495469901259
BFA,201,Foutouri,1,2010,DHS 2010,-0.8892207371544879,-0.7082889088190539,-0.14833133318376757,-0.20019310083941622,2.098957619394932,-2.7989681213941946,-0.9860707119570047
BFA,201,Foutouri,2,2021,DHS 2021,-0.8892207371544879,-1.2649434555698442,-0.14833133318376757,0.9322509579287558,2.098957619394932,-2.7989681213941946,-0.9860707119570047
