district_name,district_code,region,name_clean,area_km2,elev_mean,elev_median,elev_sd,precip_mean,travel_time_mean,travel_time_median,poverty_H,mpi_index,literacy_rate,illiteracy_prop,pop_under5,pop_total,prop_under5,pop_density
Amansie West,GHA2.12_2,Ashanti,amansie west,640.8666585,230.11685180664063,212.73687136172776,64.79557800292969,1356.512939453125,96.22776031,88.85507767239693,0.31,0.1,0.6796704628059123,0.32032953719408774,14716,112627,0.13066138670123506,175.7417062
Asante-Akim Central,GHA2.13_2,Ashanti,asante akim central,301.6786823017916,225.5786133,221.98557493939077,31.094375610351563,1333.3250732421875,96.75023651123047,95.81309622155608,0.16899999999999998,0.1,0.7997005532152464,0.20029944678475364,10531,91673,0.11487569949712566,303.8762941436236
Asante-Akim North,GHA2.14_2,Ashanti,asante akim north,1131.0895384927271,210.9490203857422,196.6534499500667,111.41175079345703,1280.795654296875,151.7208251953125,149.61014968556526,0.26,0.1,0.7211746946617263,0.27882530533827365,10176,85202,0.1194338161076031,75.32736985043545
Asante-Akim South,GHA2.15_2,Ashanti,asante akim south,1158.8797292568893,218.8386688232422,210.15533624265288,59.63402176,1390.1685791015625,108.83232116699219,102.98076871881312,0.24600000000000002,0.1,0.6985963743636104,0.30140362563638956,15339,123633,0.12406881657809808,106.68320178425887
Asokore-Mampong,GHA2.16_2,Ashanti,asokore mampong,24.027505732504668,271.6413879394531,272.75044969986317,10.585978507995605,1359.8167724609375,55.35892105102539,55.45697891645748,0.113,0,0.7759075508228461,0.22409244917715387,21230,191402,0.11091838120813785,7965.953775263044
Asokwa,GHA2.17_2,Ashanti,asokwa,26.826532774033833,245.03147888183594,244.22378887421266,11.608963966369629,1381.8638916015625,54.50312042236328,54.71808021006392,0.063,0,0.8767222227301401,0.12327777726985989,13172,125642,0.1048375543210073,4683.497530534862
Atwima-Kwanwoma,GHA2.18_2,Ashanti,atwima kwanwoma,252.68213379249005,237.3687744140625,238.1808875342673,20.376399993896484,1349.0631103515625,65.03966522216797,60.23253420682533,0.138,0.1,0.8404694196339167,0.15953058036608325,28828,234846,0.12275278267460378,929.4127624902138
Atwima-Mponua,GHA2.19_2,Ashanti,atwima mponua,1891.514638178744,249.43519592285156,213.89792912687352,111.35850524902344,1374.814208984375,137.4940185546875,125.45230632960154,0.251,0.1,0.6522921999294944,0.3477078000705056,20602,155254,0.13269867443028843,82.07919561726851
Atwima-Nwabiagya North,GHA2.20_2,Ashanti,atwima nwabiagya north,213.8959290922914,247.3788299560547,249.01278690594125,20.53649902,1330.101563,85.874176025390625,83.01293688442244,0.135,0.1,0.8150374913758464,0.18496250862415364,18988,155025,0.12248347040799872,724.7683518703627
Atwima-Nwabiagya South,GHA2.21_2,Ashanti,atwima nwabiagya south,367.95914318576774,222.15438842773438,222.81078117585156,19.255903244018555,1348.1456298828125,82.350128173828125,78.71595772988486,0.125,0.1,0.8383147073262295,0.16168529267377052,19059,161893,0.11772590538194981,439.9754782510371
