ADM2_NAME,n_obs,direct_prev,direct_se,direct_low,direct_upp,direct_cv,iid_prev,iid_se,iid_cv,spatial_prev,spatial_se,spatial_cv,itn_coverage,pfpr_map,accessibility
NEW JUABEN NORTH,24,0.048403267207381376,0.031185403612182857,-0.012845937685399947,0.1096524721001627,0.6442830290478235,0.12319469644716179,0.05225349053668964,0.424153734240509,0.08780663171700503,0.037231558430740705,0.4240176135070931,0.20782086946881784,0.18399228155612946,7.9270195960998535
NKORANZA SOUTH,27,0.10612962088860542,0.0718186608134388,-0.0349246981765175,0.24718393995372834,0.6767070325147048,0.1833364587676582,0.07244027859575974,0.3951220563693941,0.14943198232567925,0.06613220264053109,0.4425572197550012,0.46143475844777515,0.2006416618824005,26.609092712402344
NKWANTA NORTH,50,0.2528699017746494,0.056892205416158116,0.14113165430251534,0.3646081492467835,0.2249860699786203,0.25355585448879253,0.04982567206450176,0.1965076774305131,0.25668716148358145,0.05045371920033384,0.1965572368665623,0.6629945242339094,0.3326451778411865,27.795150756835938
NKWANTA SOUTH,62,0.28470901221294076,0.0504656983917136,0.18559264548925175,0.38382537893662977,0.17725360359850179,0.28156477227095117,0.04643670876986092,0.16492371682482582,0.28276641341880593,0.043725070448046216,0.15463318263079895,0.5841944566822942,0.35649043321609497,36.93485641479492
NORTH GONJA,23,0.15589529558857865,0.012279570046385418,0.13177779782842458,0.1800127933487327,0.07876806031910212,0.15832134697459718,0.012705257073933834,0.08024980406446647,0.15978445075739586,0.012893143459644815,0.08069085194792044,0.549579102613913,0.1435263454914093,88.42028045654297
NORTH-EAST GONJA,79,0.16765143395964638,0.049289866081958025,0.07084444231910163,0.2644584256001911,0.2940020548456631,0.18716399980218484,0.04694211732719872,0.2508074062149357,0.22296904366675405,0.04034150246634339,0.18092871460056648,0.7696418140858787,0.18372997641563416,40.9102783203125
NSAWAM-ADOAGYIRI,4,0.6666666666666666,5.551115123125783e-17,0.6666666666666665,0.6666666666666667,8.326672684688674e-17,0.6565903131102255,0.02253597786657378,0.03432273887779782,0.6617942959905603,0.022694558188999153,0.034292465689856694,0.25,0.1524261087179184,5.034768104553223
OBUASI,5,0.19999999999999998,2.775557561562891e-17,0.19999999999999993,0.20000000000000004,1.3877787807814457e-16,0.20136993794245958,0.015469744374325259,0.0768225115048983,0.2009983146232177,0.015267341755357232,0.07595756105705014,0.7999999999999999,0.16233061254024506,7.078205585479736
PRESTEA-HUNI VALLEY,35,0.08959030412706806,0.050157609539472306,-0.008920965498286845,0.18810157375242298,0.559855332875448,0.15392089108327991,0.060354271479936876,0.3921122795948589,0.17579157845805987,0.055533513743529,0.31590542749906597,0.5737073420872674,0.3790431320667267,30.593769073486328
PRU,32,0.22005955375848318,0.06512851113116078,0.09214491868619926,0.34797418883076714,0.29595857129947534,0.23008314063823232,0.05832831921515042,0.2535097489253333,0.25757857742700835,0.05849035741885677,0.22707772518633287,0.7757332976051452,0.18638339638710022,42.01209259033203
PUSIGA,14,0.2278816392048807,0.10195279788407428,0.027642838878611797,0.4281204395311496,0.44739364803503084,0.2432377660428131,0.07862753448492518,0.323253809488966,0.28234702218610075,0.08858999676720844,0.3137628159889604,0.8169116013461808,0.14021117985248566,12.945549011230469
SAVELUGU,34,0.12915739773786863,0.05096385240438548,0.02906263940604982,0.22925215606968746,0.3945871726822737,0.166434659714511,0.05182873144913892,0.31140587866759173,0.1964621968908318,0.05700103353248854,0.29013741286911454,0.35047751450792,0.13440872728824615,35.539676666259766
SAWLA-TUNA-KALBA,70,0.49996198065905684,0.12419085036145687,0.2560468806913901,0.7438770806267236,0.2484005887762641,0.4032137667903737,0.09170497552528872,0.22743513014267966,0.34892327644303184,0.07616717276624062,0.21829203698503133,0.5434881696514244,0.20575688779354095,55.65414047241211
SEFWI-AKONTOMBRA,20,0.12617602670223005,0.03836879506144362,0.05081839402790336,0.20153365937655673,0.30408942224811303,0.15085024498814453,0.03881387029612195,0.2573006778953018,0.16037799798199398,0.04089512261985564,0.2549921007521682,0.8163407346342153,0.3826878070831299,28.884618759155273
