time,year,label,district_id,district_name,district_code,region,name_clean,area_km2,elev_mean_pw,elev_mean_uw,travel_time_pw,travel_time_uw,rainfall_sep_dec,nightlights,temp_sep_dec,elev_std,rainfall_std,ntl_std,temp_std,travel_std,country,poverty_H,mpi_index,literacy_rate,census_pop,census_pop_density,avg_hh_size,households,pop_dens_std,poverty_std
1,2014,DHS 2014,6,Tano South,GHA1.6_2,Ahafo,tano south,491.213456441849,297.5416564941406,296.81390380859375,69.84822845458984,68.97888946533203,352.0978698730469,0.06585519760847092,8.59488582611084,1.3460783753595085,-0.016401702796875247,-0.5685465878734226,-1.4068136087456082,-0.4796053042957213,GHA,0.237,0.1,0.6726009845572865,86989,177.0900183193535,NA,NA,-0.14128552074166287,-0.2887040961002284
2,2022,DHS 2022,6,Tano South,GHA1.6_2,Ahafo,tano south,491.213456441849,297.5416564941406,296.81390380859375,69.84822845458984,68.97888946533203,449.6359558105469,0.3531927466392517,8.632251739501953,1.3460783753595085,0.27867932800368816,-0.3396372510938414,-1.1638517374017934,-0.4796053042957213,GHA,0.237,0.1,0.6726009845572865,86989,177.0900183193535,NA,NA,-0.14128552074166287,-0.2887040961002284
1,2014,DHS 2014,7,Adansi Akrofuom,GHA2.1_2,Ashanti,adansi akrofuom,570.8592388209779,159.87557983398438,158.759521484375,81.63334655761719,81.15028381347656,355.55572509765625,0.03343765065073967,8.720550537109375,-0.11657988211298642,-0.005940686730898089,-0.5981677548930847,-0.5897123906780973,-0.3156238476720658,GHA,0.37,0.2,0.6475238095238095,49291,86.34527856955243,NA,NA,-0.5917537432676933,0.6993588139498411
2,2022,DHS 2022,7,Adansi Akrofuom,GHA2.1_2,Ashanti,adansi akrofuom,570.8592388209779,159.87557983398438,158.759521484375,81.63334655761719,81.15028381347656,516.64093017578125,0.15663227438926697,8.76009464263916,-0.11657988211298642,0.4813888308037331,-0.4901604844765056,-0.33258740675039544,-0.3156238476720658,GHA,0.37,0.2,0.6475238095238095,49291,86.34527856955243,NA,NA,-0.5917537432676933,0.6993588139498411
1,2014,DHS 2014,8,Adansi Asokwa,GHA2.2_2,Ashanti,adansi asokwa,598.6514356838657,192.9258575439453,186.77346801757813,67.12586975097656,65.36528015136719,335.75433349609375,0.02198806405067444,8.723310470581055,0.2345688015497956,-0.06584564579292788,-0.6088522260568698,-0.57176666046016,-0.5174849709878961,GHA,0.324,0.1,0.6694559307133787,71844,120.0097347431055,NA,NA,-0.3856204038449359,0.35762276987237357
2,2022,DHS 2022,8,Adansi Asokwa,GHA2.2_2,Ashanti,adansi asokwa,598.6514356838657,192.9258575439453,186.77346801757813,67.12586975097656,65.36528015136719,576.4664306640625,0.2326153814792633,8.701547622680664,0.2345688015497956,0.6623783405174412,-0.42914179524138785,-0.7132737660487325,-0.5174849709878961,GHA,0.324,0.1,0.6694559307133787,71844,120.0097347431055,NA,NA,-0.3856204038449359,0.35762276987237357
1,2014,DHS 2014,9,Adansi North,GHA2.3_2,Ashanti,adansi north,259.0451784491107,261.3394775390625,263.4306945800781,29.379810333251953,29.478504180908203,315.7808532714844,0.1825079619884491,8.726622581481934,0.9614417439411647,-0.12627122290676424,-0.46894202381483197,-0.5502305439961324,-1.0426942859061354,GHA,0.19699999999999998,0.1,0.7895333904109589,54155,209.05619754910327,NA,NA,-0.03690052063538469,-0.585865873558896
2,2022,DHS 2022,9,Adansi North,GHA2.3_2,Ashanti,adansi north,259.0451784491107,261.3394775390625,263.4306945800781,29.379810333251953,29.478504180908203,563.7161865234375,0.9561267495155334,8.752702713012695,0.9614417439411647,0.6238051498728626,0.01376353462671841,-0.38065145475289436,-1.0426942859061354,GHA,0.19699999999999998,0.1,0.7895333904109589,54155,209.05619754910327,NA,NA,-0.03690052063538469,-0.585865873558896
1,2014,DHS 2014,10,Adansi South,GHA2.4_2,Ashanti,adansi south,763.6903398807265,127.24115753173828,129.2974090576172,82.76898193359375,81.26263427734375,368.09417724609375,0.02968264743685722,8.714406967163086,-0.4633102343991124,0.031991771642083056,-0.6016587300577106,-0.629659313298675,-0.29982229680783196,GHA,0.35,0.2,0.6822221303682884,85200,111.5635429057628,NA,NA,-0.4313697765093094,0.5507779252205072
2,2022,DHS 2022,10,Adansi South,GHA2.4_2,Ashanti,adansi south,763.6903398807265,127.24115753173828,129.2974090576172,82.76898193359375,81.26263427734375,579.45849609375,0.26083460450172424,8.71285343170166,-0.4633102343991124,0.6714302072085782,-0.4074336133572982,-0.6397607626853439,-0.29982229680783196,GHA,0.35,0.2,0.6822221303682884,85200,111.5635429057628,NA,NA,-0.4313697765093094,0.5507779252205072
1,2014,DHS 2014,11,Afigya-Kwabre North,GHA2.5_2,Ashanti,afigya kwabre north,187.25902867300888,295.3217468261719,300.8684387207031,82.23289489746094,81.54840087890625,356.4051818847656,0.0563567653298378,8.634865760803223,1.3224925415399467,-0.0033708333043977485,-0.5771313168881932,-1.146854762098626,-0.3072815630021635,GHA,0.252,0.1,0.7128111321617561,73330,391.59660561974084,NA,NA,0.35854901293883984,-0.177268429553228
2,2022,DHS 2022,11,Afigya-Kwabre North,GHA2.5_2,Ashanti,afigya kwabre north,187.25902867300888,295.3217468261719,300.8684387207031,82.23289489746094,81.54840087890625,476.5752258300781,0.42412516474723816,8.622232437133789,1.3224925415399467,0.3601784418111058,-0.29063972603990823,-1.2289995748826672,-0.3072815630021635,GHA,0.252,0.1,0.7128111321617561,73330,391.59660561974084,NA,NA,0.35854901293883984,-0.177268429553228
