time,year,label,district_id,district_name,district_code,region,name_clean,area_km2,elev_mean_pw,elev_mean_uw,travel_time_pw,travel_time_uw,poverty_H,mpi_index,literacy_rate,illiteracy_prop,pop_under5,pop_total,prop_under5,pop_density,rainfall_sep_dec,temp_sep_dec,elev_std,rainfall_std,temp_std,travel_std,poverty_std,illiteracy_std,pop_dens_std
2,2022,DHS 2022,226,Central Tongu,GHA14.7_2,Volta,central tongu,684.8488424637454,35.635658264160156,36.8150520324707,113.19642639160156,112.40742492675781,0.36,0.2,0.5918170238378522,0.4081829761621478,9572,83284,0.11493203976754239,121.60931702882873,392.2927551269531,NA,-1.4339876282393622,0.10519949595161257,NA,0.12974596141009423,0.6250683695851742,0.3379721156503846,-0.3773169355165513
1,2014,DHS 2014,227,Ho Municipal,GHA14.8_2,Volta,ho,576.0122316331137,176.7630157470703,173.93161010742188,34.06013488769531,35.3011360168457,0.125,0.1,0.8804593657335277,0.11954063426647232,16731,180142,0.09287673057920974,312.73988659799846,353.0608215332031,NA,0.06044706069156499,-0.013488494425407964,NA,-0.9710244697389991,-1.1207570729844973,-1.2280940402141856,0.21677417174081534
2,2022,DHS 2022,227,Ho Municipal,GHA14.8_2,Volta,ho,576.0122316331137,176.7630157470703,173.93161010742188,34.06013488769531,35.3011360168457,0.125,0.1,0.8804593657335277,0.11954063426647232,16731,180142,0.09287673057920974,312.73988659799846,465.0509948730469,NA,0.06044706069156499,0.32531429702807657,NA,-0.9710244697389991,-1.1207570729844973,-1.2280940402141856,0.21677417174081534
1,2014,DHS 2014,228,Ho West,GHA14.9_2,Volta,ho west,1007.0747100573483,252.86241149902344,172.9593048095703,57.639259338378906,83.16596984863281,0.27899999999999997,0.1,0.7837845281044311,0.2162154718955689,8691,83172,0.10449430096667148,82.58771585602,351.3750915527344,NA,0.8662835678491032,-0.018588317079369733,NA,-0.6430434322852042,0.023315770231372344,-0.7035722727551645,-0.6195578061653748
2,2022,DHS 2022,228,Ho West,GHA14.9_2,Volta,ho west,1007.0747100573483,252.86241149902344,172.9593048095703,57.639259338378906,83.16596984863281,0.27899999999999997,0.1,0.7837845281044311,0.2162154718955689,8691,83172,0.10449430096667148,82.58771585602,466.27459716796875,NA,0.8662835678491032,0.32901604925137573,NA,-0.6430434322852042,0.023315770231372344,-0.7035722727551645,-0.6195578061653748
1,2014,DHS 2014,229,Hohoe,GHA14.10_2,Volta,hohoe,686.9766097534965,274.3656921386719,280.02984619140625,38.08106231689453,39.691307067871094,0.188,0.1,0.8146377381708879,0.18536226182911208,12205,114472,0.10661995946607031,166.63158304774782,475.65631103515625,NA,1.0939874594747852,0.35739845774337264,NA,-0.9150941508455448,-0.652727273487096,-0.8709703328163657,-0.17955307284959982
2,2022,DHS 2022,229,Hohoe,GHA14.10_2,Volta,hohoe,686.9766097534965,274.3656921386719,280.02984619140625,38.08106231689453,39.691307067871094,0.188,0.1,0.8146377381708879,0.18536226182911208,12205,114472,0.10661995946607031,166.63158304774782,512.86602783203125,NA,1.0939874594747852,0.469968655145591,NA,-0.9150941508455448,-0.652727273487096,-0.8709703328163657,-0.17955307284959982
1,2014,DHS 2014,230,Keta Municipal,GHA14.11_2,Volta,keta,518.7177627387615,3.1676924228668213,3.380154848098755,161.48013305664063,161.91529846191406,0.252,0.1,0.7139165583946875,0.2860834416053125,7697,78862,0.09760087241003272,152.0325804607481,246.84901428222656,NA,-1.7777994539382092,-0.33481005067259034,NA,0.8013629350274124,-0.177268429553228,-0.3244946155313761,-0.23716747284378561
2,2022,DHS 2022,230,Keta Municipal,GHA14.11_2,Volta,keta,518.7177627387615,3.1676924228668213,3.380154848098755,161.48013305664063,161.91529846191406,0.252,0.1,0.7139165583946875,0.2860834416053125,7697,78862,0.09760087241003272,152.0325804607481,275.03057861328125,NA,-1.7777994539382092,-0.24955263586430107,NA,0.8013629350274124,-0.177268429553228,-0.3244946155313761,-0.23716747284378561
1,2014,DHS 2014,231,Ketu North,GHA14.12_2,Volta,ketu north,425.31277786132046,31.228496551513672,32.91273880004883,144.86392211914063,145.75375366210938,0.272,0.1,0.6325739558137417,0.36742604418625835,13095,114993,0.11387649683024184,270.3727844205404,274.91888427734375,NA,-1.480656222199996,-0.2498905436617141,NA,0.5702346709889932,-0.028687540823894103,0.1168401383904977,0.12504490085516806
2,2022,DHS 2022,231,Ketu North,GHA14.12_2,Volta,ketu north,425.31277786132046,31.228496551513672,32.91273880004883,144.86392211914063,145.75375366210938,0.272,0.1,0.6325739558137417,0.36742604418625835,13095,114993,0.11387649683024184,270.3727844205404,315.46063232421875,NA,-1.480656222199996,-0.1272399842505497,NA,0.5702346709889932,-0.028687540823894103,0.1168401383904977,0.12504490085516806
1,2014,DHS 2014,232,Ketu South,GHA14.13_2,Volta,ketu south,279.29480111503545,13.808403968811035,12.492998123168945,117.56414794921875,121.63129425048828,0.256,0.1,0.6464295340688347,0.35357046593116526,30691,253122,0.12124983209677546,906.2896945788281,232.36404418945313,NA,-1.6651221620737136,-0.3786312910117718,NA,0.19050011921492566,-0.1475522518073612,0.04166491623588746,0.8882193735309386
2,2022,DHS 2022,232,Ketu South,GHA14.13_2,Volta,ketu south,279.29480111503545,13.808403968811035,12.492998123168945,117.56414794921875,121.63129425048828,0.256,0.1,0.6464295340688347,0.35357046593116526,30691,253122,0.12124983209677546,906.2896945788281,260.2847900390625,NA,-1.6651221620737136,-0.2941629278402558,NA,0.19050011921492566,-0.1475522518073612,0.04166491623588746,0.8882193735309386
1,2014,DHS 2014,233,Kpando,GHA14.14_2,Volta,kpando,315.4125308824545,119.82819366455078,111.33484649658203,61.79096221923828,72.38053894042969,0.23399999999999999,0.1,0.7855093956719418,0.21449060432805822,5882,58552,0.1004577128022954,185.63625178804548,359.1839904785156,NA,-0.54245073776350194,0.005035869537470944,NA,-0.5852940522812029,-0.3109912294096285,-0.7129307636234351,-0.11164777519661949
